,id,mig_categ,cari,cari_yn,country,neighborhood,rural_urban,sex,age,fam_type,fam_size
4625,173402735,1.0,3,1,Honduras,Colonia la paz bloque 3,Rural,Woman,48,Biparental,7
1657,175641351,1.0,4,1,Honduras,El Pedernal,Rural,Woman,49,else,6
3894,174025837,1.0,3,1,Honduras,Las Ca_as,Rural,Woman,50,Biparental,5
1404,175669186,1.0,3,1,Honduras,Dulce nombre,Rural,Woman,55,Biparental,6
1916,175291580,1.0,3,1,Honduras,"Yorito

",Urban,Woman,66,Biparental,2
1856,175294607,1.0,3,1,Honduras,R_o abajo ,Rural,Woman,68,Biparental,4
4591,173405559,2.0,3,1,Guatemala,Tajumulco,Urban,Man,24,Biparental,5
4322,173566379,2.0,3,1,Guatemala,CONCEPCION HUISTA,Urban,Woman,43,Biparental,6
2505,174954847,2.0,3,1,Guatemala,Caserio el Basurero,Rural,Woman,52,else,10
1855,175294608,3.0,3,1,Honduras,R_o abajo ,Rural,Man,24,Biparental,7
906,175937607,3.0,3,1,Honduras,El pedernal,Rural,Man,27,Biparental,5
2437,175101963,3.0,3,1,Honduras,Bajamar,Rural,Woman,28,Biparental,3
2402,175111249,0.0,1,0,El Salvador,Barrio santa Luc_a ,Urban,Man,20,Biparental,10
481,176452910,0.0,2,0,El Salvador,Urbanizacion los conacaste,Urban,Man,22,else,4
2646,174923616,0.0,2,0,El Salvador,Tigre 4,Rural,Man,23,Biparental,3
2232,175137331,0.0,1,0,El Salvador,Junquillo,Rural,Man,24,Biparental,2
1158,175904783,0.0,2,0,El Salvador,Potrero de Batres,Rural,Man,31,Biparental,4
519,176449374,0.0,2,0,El Salvador,Distrito Italia,Urban,Man,37,Biparental,4
2287,175132760,0.0,2,0,El Salvador,Palo pique,Rural,Man,39,Biparental,4
3949,174016151,0.0,1,0,El Salvador,La Escuela,Rural,Man,40,else,8
1529,175662604,0.0,2,0,El Salvador,Hacienda nueva york,Rural,Man,41,Biparental,5
1150,175905222,0.0,2,0,El Salvador,"Caserio ladillera, cant_n potrero Batres",Rural,Man,45,else,3
626,176195903,0.0,1,0,El Salvador,CASERRILLO EL PALOMAR ,Rural,Man,47,Biparental,3
458,176454496,0.0,2,0,El Salvador,Cerron grande,Rural,Man,52,Biparental,6
754,176174828,0.0,2,0,El Salvador,"Maquilishuat, san vicente ",Rural,Man,54,Biparental,8
1533,175662335,0.0,1,0,El Salvador,Hacienda Nueva York,Rural,Man,55,else,5
677,176183169,0.0,2,0,El Salvador,"
Azacualpa",Rural,Man,55,Biparental,4
495,176452585,0.0,1,0,El Salvador,Casta_os,Urban,Man,56,else,3
4022,174002697,0.0,1,0,El Salvador,Barrio el Calvario,Urban,Man,57,Biparental,5
2933,174896255,0.0,1,0,El Salvador,El Rodeo 2,Rural,Man,57,Biparental,8
3633,174312790,0.0,2,0,El Salvador,Barrio La Playa,Urban,Man,57,Biparental,3
2336,175124354,0.0,2,0,El Salvador,Cantan Santa Cruz ,Rural,Man,58,Biparental,4
71,177567765,0.0,1,0,El Salvador,Altamira,Urban,Man,59,else,7
500,176451858,0.0,2,0,El Salvador,Conacaste,Urban,Man,59,Biparental,1
3297,174596079,0.0,2,0,El Salvador,Caserio san cristobal,Rural,Man,59,Biparental,6
2903,174898962,0.0,2,0,El Salvador,Los Silvas,Rural,Man,62,else,6
3944,174016316,0.0,2,0,El Salvador,"Ojo de agua, los miranda",Rural,Man,65,Biparental,5
1014,175922893,0.0,2,0,El Salvador,"San Pedro Puxtla, Barrio San Pablo",Rural,Man,66,else,5
159,176662319,0.0,1,0,El Salvador,Hacienda Mapilapa,Rural,Man,66,Biparental,6
128,177560882,0.0,1,0,El Salvador,La cima1,Urban,Man,67,else,6
2335,175124356,0.0,2,0,El Salvador, Canton santa cruz,Rural,Man,67,Biparental,4
1203,175894751,0.0,1,0,El Salvador,San pablo,Urban,Man,67,Biparental,8
492,176452594,0.0,1,0,El Salvador,Conacaste,Urban,Man,68,else,6
2946,174894665,0.0,1,0,El Salvador,La lima,Rural,Man,70,Biparental,1
3993,174010825,0.0,2,0,El Salvador,Caserio,Rural,Man,72,else,2
723,176180468,0.0,2,0,El Salvador,San antonio,Rural,Man,72,Biparental,5
3975,174011152,0.0,1,0,El Salvador,La escuela canton el cerrito,Rural,Man,75,Biparental,1
3904,174020782,0.0,1,0,El Salvador,CASERIO LA pe_a ,Rural,Man,76,Biparental,2
686,176182954,0.0,2,0,El Salvador,San Antonio ,Rural,Man,77,Biparental,8
2969,174894468,0.0,1,0,El Salvador,Rodeo dos,Rural,Man,79,else,4
426,176457736,0.0,2,0,El Salvador,San benito,Rural,Man,79,else,3
59,177567924,0.0,1,0,El Salvador,Canton el carmen,Urban,Man,80,Biparental,7
1209,175893500,0.0,2,0,El Salvador,San Pablo ,Urban,Man,89,Biparental,2
2800,174911904,0.0,2,0,El Salvador,Tulapa,Rural,Woman,18,Biparental,3
3542,174319031,0.0,2,0,El Salvador,La limonera ,Rural,Woman,20,Biparental,2
2300,175132328,0.0,1,0,El Salvador,CANTON PALOPIQUE ,Rural,Woman,20,Biparental,3
1023,175922501,0.0,1,0,El Salvador,Barrio san pablo,Urban,Woman,21,Biparental,5
1645,175647718,0.0,1,0,El Salvador,San Juan Buena Vista,Rural,Woman,21,Biparental,5
2658,174923420,0.0,2,0,El Salvador,Tigre 4,Rural,Woman,21,Biparental,4
714,176181644,0.0,2,0,El Salvador,Caserio san vicente,Rural,Woman,23,Biparental,3
3152,174637569,0.0,1,0,El Salvador,El congo,Rural,Woman,23,Biparental,4
9,177680761,0.0,1,0,El Salvador,Condominio santa maria,Urban,Woman,23,else,5
623,176196092,0.0,2,0,El Salvador,Comunidad el palomar,Rural,Woman,23,else,4
1522,175662971,0.0,2,0,El Salvador,Hacienda nueva York ,Rural,Woman,23,Biparental,3
633,176195527,0.0,1,0,El Salvador,Caser_o  el palomar,Rural,Woman,24,Biparental,4
783,176166191,0.0,1,0,El Salvador,Colonia el Carmen,Urban,Woman,25,Biparental,3
1204,175894750,0.0,1,0,El Salvador,San pablo ,Urban,Woman,26,Biparental,3
512,176449392,0.0,2,0,El Salvador,distrito Italia,Urban,Woman,26,Biparental,4
427,176457734,0.0,2,0,El Salvador,San benito,Rural,Woman,27,else,4
2401,175111250,0.0,1,0,El Salvador,Barrio Santa lucia,Urban,Woman,27,Biparental,3
3591,174316051,0.0,1,0,El Salvador,Isla de mendez,Rural,Woman,28,else,5
4028,174001728,0.0,2,0,El Salvador,Barrio el calvario,Urban,Woman,28,Biparental,5
682,176183150,0.0,1,0,El Salvador,Azacualpa,Rural,Woman,30,Biparental,4
82,177567520,0.0,1,0,El Salvador,Villas de altamira,Urban,Woman,30,else,4
3613,174315228,0.0,1,0,El Salvador,San Antonio ,Urban,Woman,31,Biparental,3
3559,174317008,0.0,1,0,El Salvador,San francisco javier,Urban,Woman,31,Biparental,4
1424,175668524,0.0,1,0,El Salvador,Los grijalbas,Rural,Woman,31,else,3
239,176648621,0.0,2,0,El Salvador,Barrio San Jos_ ,Urban,Woman,31,else,7
391,176467907,0.0,1,0,El Salvador,San marcos,Rural,Woman,32,Biparental,5
1151,175905209,0.0,1,0,El Salvador,Arga_n,Rural,Woman,32,Biparental,4
99,177561222,0.0,1,0,El Salvador,Cima 1,Urban,Woman,32,else,5
2227,175137713,0.0,2,0,El Salvador,Junquillo,Rural,Woman,32,Biparental,4
428,176457464,0.0,2,0,El Salvador,San Benito,Rural,Woman,35,Biparental,4
742,176174994,0.0,2,0,El Salvador,Santa Marta,Rural,Woman,35,else,4
1129,175909641,0.0,2,0,El Salvador,Canton cunchique,Rural,Woman,36,Biparental,3
1173,175904080,0.0,2,0,El Salvador,San francisco echeverria,Rural,Woman,37,Biparental,5
471,176453792,0.0,2,0,El Salvador,Cerron Grande,Rural,Woman,40,Biparental,6
1578,175657357,0.0,2,0,El Salvador,San Juan buena vista,Rural,Woman,40,Biparental,2
685,176182958,0.0,1,0,El Salvador,SAN Antonio ,Rural,Woman,40,Biparental,6
2954,174894597,0.0,2,0,El Salvador,Zapotillo,Rural,Woman,40,Biparental,4
166,176660606,0.0,2,0,El Salvador,Hacienda Mapilapa,Rural,Woman,42,Biparental,5
1207,175893509,0.0,2,0,El Salvador,San Pablo ,Urban,Woman,42,Biparental,2
1191,175902571,0.0,1,0,El Salvador,Guachipilin,Rural,Woman,42,else,10
2394,175111294,0.0,1,0,El Salvador,SANTA LUCIA,Urban,Woman,42,Biparental,3
518,176449376,0.0,2,0,El Salvador,Brisas del norte,Urban,Woman,43,Biparental,3
3564,174316613,0.0,1,0,El Salvador,San Francisco Javier,Urban,Woman,44,Biparental,4
430,176457450,0.0,1,0,El Salvador,San Benito,Rural,Woman,44,else,9
133,177570823,0.0,1,0,El Salvador,Colonia San Francisco,Urban,Woman,45,Biparental,5
2433,175103946,0.0,2,0,El Salvador,"Canton izcaquilio, comunidad los paniagua",Rural,Woman,45,Biparental,5
624,176196084,0.0,2,0,El Salvador,Caserio el palomas,Rural,Woman,47,Biparental,7
387,176468029,0.0,2,0,El Salvador,San Marcos,Rural,Woman,47,Biparental,7
712,176181755,0.0,1,0,El Salvador,Maquilishuat,Rural,Woman,48,Biparental,5
1081,175916385,0.0,2,0,El Salvador,Tempisque,Rural,Woman,49,Biparental,4
