,_id,CARI_YN,mig_categ,CARI
265,176641927,0,0,2
266,176641924,0,1,2
267,176641920,1,0,3
268,176641639,0,1,1
269,176641635,0,0,2
270,176641628,0,0,1
271,176641624,0,0,1
272,176641622,0,1,1
273,176641241,0,3,1
274,176641240,0,1,1
275,176641237,0,0,2
276,176641234,0,0,1
277,176641231,0,0,1
278,176635031,0,0,1
279,176635027,0,1,2
280,176635021,0,1,2
281,176631967,0,0,2
282,176631963,0,0,2
283,176631958,0,0,2
284,176631954,0,0,1
285,176631949,0,1,1
286,176631824,0,0,1
287,176631822,0,0,2
288,176631818,1,0,3
289,176631813,0,1,2
290,176631807,0,0,2
291,176631374,0,1,1
292,176631373,0,1,1
293,176631369,0,2,2
294,176631365,0,1,1
295,176631353,0,1,2
296,176631351,1,1,3
297,176631342,0,1,2
298,176631304,0,0,1
299,176631300,0,1,1
300,176631298,0,0,1
301,176631184,0,1,2
302,176631180,0,1,2
303,176631170,0,1,2
304,176497733,0,1,1
305,176497730,1,1,3
306,176497726,0,0,1
307,176497723,0,0,1
308,176497719,0,1,2
309,176497655,0,0,1
310,176497650,0,0,2
311,176497642,0,0,2
312,176497639,0,0,1
313,176497629,0,0,2
314,176497590,0,1,1
315,176497587,0,1,1
316,176497585,0,2,2
317,176497583,0,0,1
318,176497580,0,0,2
319,176489460,0,2,1
320,176489458,0,0,1
321,176489454,0,0,1
322,176489453,0,0,1
323,176489451,1,0,3
324,176485404,1,0,3
325,176485402,1,,3
326,176485401,1,0,3
327,176485398,1,0,3
328,176485397,1,0,3
329,176485145,1,0,4
330,176485143,0,0,1
331,176485137,1,0,3
332,176485132,0,0,2
333,176485127,0,1,2
334,176477043,0,1,1
335,176477042,0,0,2
336,176477041,0,1,1
337,176475750,0,1,2
338,176475749,0,0,2
339,176475748,0,1,1
340,176475567,0,0,2
341,176475565,0,0,2
342,176475562,0,0,1
343,176475559,0,0,1
344,176475554,0,0,2
345,176475539,0,0,2
346,176475534,0,0,2
347,176475532,0,0,2
348,176475530,0,0,2
349,176475526,0,0,2
350,176475524,0,1,2
351,176475520,1,,3
352,176475515,0,0,2
353,176475512,0,,1
354,176471135,0,1,1
355,176470940,0,1,2
356,176470936,0,0,1
357,176470933,0,0,1
358,176470929,0,1,2
359,176470926,1,1,3
360,176470924,0,0,2
361,176470920,0,1,2
362,176469875,0,1,2
363,176469872,1,1,3
364,176469868,1,1,3
365,176469865,0,0,2
366,176469863,1,1,3
367,176469860,0,0,2
368,176469855,0,1,2
369,176469851,1,0,3
370,176469190,0,1,2
371,176469187,0,1,1
372,176469184,0,1,1
373,176469183,0,1,2
374,176469178,0,1,2
375,176469176,0,1,1
376,176469173,0,1,1
377,176469172,0,1,1
378,176469170,0,1,1
379,176468270,0,1,2
380,176468266,0,0,2
381,176468260,0,1,2
382,176468135,0,0,2
383,176468131,0,0,1
384,176468130,0,1,2
385,176468038,0,1,2
386,176468036,0,1,1
387,176468029,0,0,2
388,176467966,0,0,2
389,176467962,0,1,2
390,176467960,0,0,2
391,176467907,0,0,1
392,176467906,0,0,1
393,176467904,0,0,1
394,176465863,0,1,1
395,176465860,0,1,2
396,176465858,1,1,3
397,176465857,0,1,2
398,176465854,0,0,2
399,176465069,0,1,1
400,176465063,0,1,1
401,176465058,0,0,2
402,176464981,0,0,1
403,176464973,0,0,1
404,176464970,0,1,1
405,176464967,0,,2
406,176464793,0,1,1
407,176464788,0,0,2
408,176464782,0,1,1
409,176464778,0,1,1
410,176464703,0,1,2
411,176464699,0,0,1
412,176464692,0,1,1
413,176464660,0,1,2
414,176464655,0,1,1
415,176464653,0,0,1
416,176463880,0,0,1
417,176463876,0,1,1
418,176463691,0,1,1
419,176463686,0,3,1
420,176463680,0,1,1
421,176463590,0,0,1
422,176463588,0,0,1
423,176457747,0,1,1
424,176457743,0,1,1
425,176457737,0,1,1
426,176457736,0,0,2
427,176457734,0,0,2
428,176457464,0,0,2
429,176457457,0,2,2
430,176457450,0,0,1
431,176457439,0,1,2
432,176457435,0,1,2
433,176457431,0,1,1
434,176457430,0,0,1
435,176457425,0,1,2
436,176457420,0,1,1
437,176455607,0,1,1
438,176455606,0,2,1
439,176455604,0,1,2
440,176455602,0,0,1
441,176455516,0,1,1
442,176455508,0,0,2
443,176455480,0,1,2
444,176455475,0,0,2
445,176455472,1,0,3
446,176455468,0,1,1
447,176455466,0,0,1
448,176455462,0,1,2
449,176455461,0,1,2
450,176455460,0,0,2
451,176455459,0,0,2
452,176455457,0,1,1
453,176454952,0,1,2
454,176454949,0,1,2
455,176454943,0,0,2
456,176454941,0,1,1
457,176454938,0,3,2
458,176454496,0,0,2
459,176454493,0,1,2
460,176454489,0,1,1
461,176454485,0,3,1
462,176454407,0,0,2
463,176454404,0,3,2
464,176454400,0,0,2
465,176454394,0,1,1
466,176454390,0,1,2
467,176454259,0,1,1
468,176453797,0,1,2
469,176453795,0,0,1
470,176453794,0,1,1
471,176453792,0,0,2
472,176453571,0,3,2
473,176453565,0,0,2
474,176453562,0,1,2
475,176453560,0,1,2
476,176453537,0,0,2
477,176453523,0,0,2
478,176453518,0,1,2
479,176453109,0,1,2
480,176452994,0,1,2
481,176452910,0,0,2
482,176452907,1,0,3
483,176452905,0,0,2
484,176452903,1,1,3
485,176452900,0,0,1
486,176452898,0,1,1
487,176452893,1,0,3
488,176452888,1,0,3
489,176452740,0,1,2
490,176452738,0,0,1
491,176452737,0,0,2
492,176452594,0,0,1
493,176452590,0,0,2
494,176452589,0,1,2
495,176452585,0,0,1
496,176452359,0,1,1
497,176452357,0,1,2
498,176452355,0,3,1
499,176452352,0,0,2
500,176451858,0,0,2
501,176451848,0,1,2
502,176451847,0,1,1
503,176451846,0,0,1
504,176451844,0,0,1
505,176449726,0,1,2
506,176449722,0,0,1
507,176449715,0,0,2
508,176449711,0,1,1
509,176449705,0,1,2
510,176449400,0,0,2
511,176449398,1,1,3
512,176449392,0,0,2
513,176449390,1,0,3
514,176449387,0,0,1
515,176449385,0,0,2
516,176449382,0,1,2
517,176449379,0,0,2
518,176449376,0,0,2
519,176449374,0,0,2
520,176449262,0,3,2
521,176449260,0,1,2
522,176449258,0,1,2
523,176449255,0,0,1
524,176449250,0,1,1
525,176441220,0,1,1
